Regimen Name,Regimen Number
TIP                                                                                                                                                                                                     ,451
DARATUMUMAB                                                                                                                                                                                             ,452
CABOZANTINIB                                                                                                                                                                                            ,453
Olaparib                                                                                                                                                                                                ,454
Cyclophosphamide Weekly IV                                                                                                                                                                              ,455
CAV                                                                                                                                                                                                     ,456
CARBOPLATIN + Cetuximab + FLUOROURACIL                                                                                                                                                                  ,457
OST Euramos 1 Closed Trial - M                                                                                                                                                                          ,458
FLUOROURACIL                                                                                                                                                                                            ,459
IVADo                                                                                                                                                                                                   ,460
Temozolomide 150mg/m2                                                                                                                                                                                   ,461
IRINOTECAN + MDG + PANITUMUMAB                                                                                                                                                                          ,462
Vinorelbine (oral)                                                                                                                                                                                      ,463
Bevacizumab 15mg/kg                                                                                                                                                                                     ,464
PIN TRIAL                                                                                                                                                                                               ,465
ALL UKALL2011 Del Intens B Pt2                                                                                                                                                                          ,466
AML MyeChild 01 A Mitozantrone/Cytarabine                                                                                                                                                               ,467
OCTREOTIDE                                                                                                                                                                                              ,468
OSIMERTINIB                                                                                                                                                                                             ,469
TEMOZOLOMIDE                                                                                                                                                                                            ,470
FLUOROURACIL + OXALIPLATIN                                                                                                                                                                              ,471
ECarboF                                                                                                                                                                                                 ,472
Lomustine                                                                                                                                                                                               ,473
Cytarabine HD + Methotrexate HD                                                                                                                                                                         ,474
ANAGRELIDE                                                                                                                                                                                              ,475
GEFITINIB                                                                                                                                                                                               ,476
ALL Interim Guide 2019 Delayed Intensification C                                                                                                                                                        ,477
Alectinib                                                                                                                                                                                               ,478
ALL UKALL2003 TRIAL                                                                                                                                                                                     ,479
Fluorouracil + Folinic Acid Weekly                                                                                                                                                                      ,480
Bevacizumab 5mg/kg                                                                                                                                                                                      ,481
HD EuroNet-PHL-C2 COPDAC                                                                                                                                                                                ,482
BALLAD Trial                                                                                                                                                                                            ,483
CETUXIMAB                                                                                                                                                                                               ,484
Pemetrexed                                                                                                                                                                                              ,485
Brentuximab                                                                                                                                                                                             ,486
CAPECITABINE + EPIRUBICIN + OXALIPLATIN                                                                                                                                                                 ,487
CARBO + FLUOROURACIL                                                                                                                                                                                    ,488
Inotuzumab Ozogamicin                                                                                                                                                                                   ,489
ALL Int Guide A Cons Ph II                                                                                                                                                                              ,490
ICE-R (Cycle 2 onwards)                                                                                                                                                                                 ,491
WT Guidelines Cyclophos/Doxorubicin                                                                                                                                                                     ,492
IVAC                                                                                                                                                                                                    ,493
R-CHOP / R-DHAP                                                                                                                                                                                         ,494
Gemcitabine day 1&8                                                                                                                                                                                     ,495
CHOP R + METHOTREXATE                                                                                                                                                                                   ,496
NIVOLUMAB                                                                                                                                                                                               ,497
MUK 9 TRIAL                                                                                                                                                                                             ,498
Atezolizumab                                                                                                                                                                                            ,499
Bevacizumab + Oxaliplatin +MdG                                                                                                                                                                          ,500
Gefitinib: 1 to 2 & 4 onwards                                                                                                                                                                           ,501
RCD TRIAL                                                                                                                                                                                               ,502
R CODOX M                                                                                                                                                                                               ,503
FLUOROURACIL + IRINOTECAN                                                                                                                                                                               ,504
IRINOTECAN + MDG                                                                                                                                                                                        ,505
ATG + Busulfan + Fludarabine                                                                                                                                                                            ,506
PCV                                                                                                                                                                                                     ,507
Carboplatin + Pemetrexed                                                                                                                                                                                ,508
Cisplatin + Vinorelbine (IV)                                                                                                                                                                            ,509
DTPACE                                                                                                                                                                                                  ,510
Niraparib                                                                                                                                                                                               ,511
ALL UKALL2011 (ProtM-A) C PegAsp                                                                                                                                                                        ,512
Carboplatin + Cetux + FU (Cycle 1)                                                                                                                                                                      ,513
Binimetinib + Encorafenib                                                                                                                                                                               ,514
Carboplatin + Vinorelbine IV &PO D8                                                                                                                                                                     ,515
AFATINIB                                                                                                                                                                                                ,516
Panitumumab                                                                                                                                                                                             ,517
PEMBROLIZUMAB + PEMETREXED                                                                                                                                                                              ,518
APML SR Ind ATO + ATRA                                                                                                                                                                                  ,519
Irinotecan                                                                                                                                                                                              ,520
BENDAMUSTINE + POLATUZUMAB VEDOTIN + RITUXIMAB                                                                                                                                                          ,521
Irinotecan + Modified De Gramont                                                                                                                                                                        ,522
STS Rhabdo RMS 2005 Vin Cyclo                                                                                                                                                                           ,523
ALL Int Guide A Ind PhI PegAsp                                                                                                                                                                          ,524
ALL Interim Guide 2019 Induction A                                                                                                                                                                      ,525
Cisplatin + Etoposide + RT                                                                                                                                                                              ,526
Fluouracil continuous infusion                                                                                                                                                                          ,527
Cetuximab + FOLFIRI cycle 2 onwards                                                                                                                                                                     ,528
ALL UKALL2011 Maintenance C1                                                                                                                                                                            ,529
Liposomal Doxorubicin (Caelyx)                                                                                                                                                                          ,530
CETUXIMAB + IRINOTECAN + MDG                                                                                                                                                                            ,531
CONFIRM TRIAL                                                                                                                                                                                           ,532
Radium 223                                                                                                                                                                                              ,533
Bortezomib + Panobinostat + Thalidomide                                                                                                                                                                 ,534
Cyclophosphamide TBI Allograft                                                                                                                                                                          ,535
POMB                                                                                                                                                                                                    ,536
Cetuximab + FOLFIRI cycle1                                                                                                                                                                              ,537
ATEZOLIZUMAB + BEVACIZUMAB                                                                                                                                                                              ,538
PLATFORM Trial                                                                                                                                                                                          ,539
Panitumumab +Oxaliplatin +MdG                                                                                                                                                                           ,540
Fluorouricil + Folonic Acid (MdG)                                                                                                                                                                       ,541
Ralitrexed                                                                                                                                                                                              ,542
HYDROCORTISONE IT + METHOTREXATE IT                                                                                                                                                                     ,543
Capecitabine 42days + RT                                                                                                                                                                                ,544
VAC                                                                                                                                                                                                     ,545
CYCLO + DOXORUBICIN + VINCRISTINE                                                                                                                                                                       ,546
ATEZOLIZUMAB + CARBOPLATIN + ETOPOSIDE                                                                                                                                                                  ,547
Cetuximab + Oxaliplatin + MdG Load                                                                                                                                                                      ,548
Cabazitaxel                                                                                                                                                                                             ,549
TRANSPLANT ATG + FLUDARABINE + TREOSULFAN                                                                                                                                                               ,550
CAR-T Kymriah + Fludarabine + Cyclophosphamide                                                                                                                                                          ,551
Oxaliplatin + Raltitrexed                                                                                                                                                                               ,552
GEM-P                                                                                                                                                                                                   ,553
Nintedanib                                                                                                                                                                                              ,554
Capecitabine (14 day) + Irinotecan                                                                                                                                                                      ,555
OXALIPLATIN                                                                                                                                                                                             ,556
Lenalidomide 10mg (Cycle 1 to 25)                                                                                                                                                                       ,557
SODIUM CLODRONATE                                                                                                                                                                                       ,558
Carboplatin + Liposomal Doxorubicin                                                                                                                                                                     ,559
CISPLATIN + FLUOROURACIL + Trastuzumab                                                                                                                                                                  ,560
EW EuroEwing 2012 Arm A VAI                                                                                                                                                                             ,561
Bortezomib + Daratumumab                                                                                                                                                                                ,562
Durvalumab                                                                                                                                                                                              ,563
BLEOMYCIN                                                                                                                                                                                               ,564
IVE                                                                                                                                                                                                     ,565
FLUOROURACIL + FOLINIC ACID                                                                                                                                                                             ,566
Irinotecan 14day                                                                                                                                                                                        ,567
Rucaparib                                                                                                                                                                                               ,568
Gemcitabine + RT pancreas                                                                                                                                                                               ,569
Cetuximab + Encorafenib                                                                                                                                                                                 ,570
TOPOTECAN                                                                                                                                                                                               ,571
Carboplatin + Paclitaxel + Pembrolizumab                                                                                                                                                                ,572
LOMUSTINE + PROCARBAZINE                                                                                                                                                                                ,573
CAPECITABINE + IRINOTECAN                                                                                                                                                                               ,574
Docetaxel + nintedanib                                                                                                                                                                                  ,575
Cetuximab 14 day                                                                                                                                                                                        ,576
VAI (Ifos 3g/m2)                                                                                                                                                                                        ,577
ALL Interfant 06 MARMA: Ph I                                                                                                                                                                            ,578
FLUOROURACIL + RT                                                                                                                                                                                       ,579
WT Guidelines Vinc/ActinoD                                                                                                                                                                              ,580
ALL Int Guide A Int Maint Ph III                                                                                                                                                                        ,581
SOTORASIB                                                                                                                                                                                               ,582
NEPTUNE TRIAL                                                                                                                                                                                           ,583
Cetuximab + FLUOROURACIL + OXALIPLATIN                                                                                                                                                                  ,584
Cisplatin + Paclitaxel                                                                                                                                                                                  ,585
Liposomal Doxorubicin 40mg/m2                                                                                                                                                                           ,586
Capecitabine (21 day) + Irinotecan                                                                                                                                                                      ,587
Atezolizumab + Bevacizumab + Carboplatin + Paclitaxel                                                                                                                                                   ,588
Trifluridine + Tipiracil                                                                                                                                                                                ,589
MTX HD + PROCARBAZINE + VINCRISTINE                                                                                                                                                                     ,590
Irinotecan + Temozolomide                                                                                                                                                                               ,591
Cetuximab + Oxaliplatin + MdG Maint                                                                                                                                                                     ,592
Docetaxel + Nintedanib                                                                                                                                                                                  ,593
AML MyeChild 01 A Mitozantrone/Cytarabine + GO                                                                                                                                                          ,594
CERITINIB                                                                                                                                                                                               ,595
IPM                                                                                                                                                                                                     ,596
CAPECITABINE + Neratinib                                                                                                                                                                                ,597
Matrix Lung Trial                                                                                                                                                                                       ,598
PAM                                                                                                                                                                                                     ,599
FOCUS4 TRIAL                                                                                                                                                                                            ,600
CETUXIMAB + OXALIPLATIN + MDG                                                                                                                                                                           ,601
DACARBAZINE + DOXORUBICIN + VINBLASTINE                                                                                                                                                                 ,602
NHL 2003 Gp B COP                                                                                                                                                                                       ,603
NORDIC                                                                                                                                                                                                  ,604
CAPECITABINE + CETUXIMAB + IRINOTECAN                                                                                                                                                                   ,605
ACCEPT Trial (lymphoma)                                                                                                                                                                                 ,606
METAPHER Trial                                                                                                                                                                                          ,607
ALL Interfant 06 OCTADA pt I PegAsp                                                                                                                                                                     ,608
Topotecan (intravenous)                                                                                                                                                                                 ,609
Irinotecan + Raltitrexed                                                                                                                                                                                ,610
Bevacizumab + Fluorouracil + Oxaliplatin                                                                                                                                                                ,611
CNS LGG Irinotecan & Bevacizumab                                                                                                                                                                        ,612
Bevacizumab + FLUOROURACIL + IRINOTECAN                                                                                                                                                                 ,613
IRINOTECAN + TEMOZOLOMIDE + VINCRISTINE                                                                                                                                                                 ,614
CLARITY Trial                                                                                                                                                                                           ,615
Bevacizumab + Cape + Oxali 14day                                                                                                                                                                        ,616
HD EuroNet-PHL-C2 DECOPDAC                                                                                                                                                                              ,617
RE-AKT Trial                                                                                                                                                                                            ,618
Trifluridine + Tipiracil + Trifluridine and Tipiracil                                                                                                                                                   ,619
CHOP R + Liposomal doxorubicin                                                                                                                                                                          ,620
CYCLO + ETOPOSIDE + NELARABINE                                                                                                                                                                          ,621
ALEMTUZUMAB + CYCLOPHOSPHAMIDE                                                                                                                                                                          ,622
GEMCITABINE + TREOSULPHAN                                                                                                                                                                               ,623
CHOEP - 21 days                                                                                                                                                                                         ,624
CHOEP                                                                                                                                                                                                   ,625
VIP                                                                                                                                                                                                     ,626
FLUOROURACIL + Panitumumab                                                                                                                                                                              ,627
CETUXIMAB + IRINOTECAN                                                                                                                                                                                  ,628
FEDRATINIB                                                                                                                                                                                              ,629
CEDAR trial                                                                                                                                                                                             ,630
CARBOPLATIN + ETOPOSIDE + PACLITAXEL                                                                                                                                                                    ,631
ALL Int GdeC D Int PhIV recon Pasp                                                                                                                                                                      ,632
Capecitabine + Vinorelbine iv                                                                                                                                                                           ,633
Talazoparib                                                                                                                                                                                             ,634
AML TX Guide SR HD Cytarabine (C3)                                                                                                                                                                      ,635
Ripretinib                                                                                                                                                                                              ,636
AML16 Azacitidine                                                                                                                                                                                       ,637
Capecitabine + Docetaxel                                                                                                                                                                                ,638
ATG + Cyclophosphamide TBI Allo                                                                                                                                                                         ,639
AVAPRITINIB                                                                                                                                                                                             ,640
POUT TRIAL                                                                                                                                                                                              ,641
Cape+Cetuximab+Oxalip (2 wk) Maint                                                                                                                                                                      ,642
Cape+Cetuximab+Oxalip (2 wk) Load                                                                                                                                                                       ,643
PHITT D Carboplatin/Doxorubicin                                                                                                                                                                         ,644
Cape + Cetuximab +Irinotecan - Main                                                                                                                                                                     ,645
OXALIPLATIN + Panitumumab                                                                                                                                                                               ,646
OST Rel Ifosfamide Etoposide Mtx                                                                                                                                                                        ,647
Cytarabine + Daunorubicin + Fludarabine                                                                                                                                                                 ,648
NHL IntB NHL ritux 2010 GpB CYM                                                                                                                                                                         ,649
NHL 2003 Gp C CYVE 1&2 (CNS neg)                                                                                                                                                                        ,650
TIDE                                                                                                                                                                                                    ,651
NB HRNBL-1 ch14.18/CHO only (trial)                                                                                                                                                                     ,652
BEVACIZUMAB + CISPLATIN + PACLITAXEL                                                                                                                                                                    ,653
TRANSPLANT ALEMTUZUMAB + CYTARABINE + ETOPOSIDE + FLUDARABINE + LOMUSTINE + MELPHALAN                                                                                                                   ,654
Mitox + Tretinoin Spanish Course 3                                                                                                                                                                      ,655
TRANSPLANT ATG + CYCLOPHOSPHAMIDE (+/- TBI)                                                                                                                                                             ,656
Mitotane 5.5 - 10g                                                                                                                                                                                      ,657
TRANSPLANT BEAM                                                                                                                                                                                         ,658
ALL Ph+ve Imat1st/2nd Rind IIA Pasp                                                                                                                                                                     ,659
TRANSPLANT BUSULFAN + FLUDARABINE                                                                                                                                                                       ,660
CYCLOPHOSPHAMIDE + FLUDARABINE + THIOTEPA                                                                                                                                                               ,661
TRANSPLANT CYCLOPHOSPHAMIDE (+/- TBI)                                                                                                                                                                   ,662
ALL Interim Guide 2019 NOPHO B                                                                                                                                                                          ,663
ABC-08 Trial                                                                                                                                                                                            ,664
CARBOPLATIN + PACLITAXEL + Trastuzumab                                                                                                                                                                  ,665
